,1 Eye,2 Eyes,"1 Eye, Nose","1 Eye, Mouth","2 Eyes, Nose","1 Eye, Nose, Mouth",Full Face,"2 Eyes, Mouth"
0,15.305,12.525,14.040000000000001,13.655000000000001,11.99,12.26,10.535,11.495000000000001
1,15.16,13.115,14.175,13.055,12.41,12.57,11.09,11.41
2,15.295,12.88,13.77,12.335,12.625,11.285,11.55,11.885
3,15.535,12.65,13.08,12.870000000000001,11.99,12.94,11.035,12.375
4,15.8,13.215,13.81,13.18,11.995000000000001,12.9,10.885,11.68
5,14.47,12.92,13.870000000000001,13.57,11.895,12.31,10.135,10.67
6,14.545,12.120000000000001,13.76,13.8,12.16,11.42,11.17,11.700000000000001
7,14.83,12.97,14.265,13.63,11.325000000000001,13.06,11.03,11.765
8,15.5,12.825000000000001,14.455,13.095,11.01,12.325000000000001,11.290000000000001,11.375
9,15.05,12.5,13.815,13.09,11.985,12.025,11.56,10.49
10,14.625,13.495000000000001,13.855,13.745000000000001,12.365,13.46,11.21,11.97
11,14.94,13.26,14.975,13.44,11.27,11.685,11.155,11.91
12,14.635,13.205,13.89,12.38,12.535,12.9,11.315,11.57
13,15.35,12.84,14.34,13.575000000000001,12.38,11.895,10.725,11.56
14,14.81,12.65,14.89,13.235,11.755,12.635,11.040000000000001,11.67
15,14.205,13.495000000000001,14.095,13.415000000000001,12.485,13.085,10.67,11.86
16,14.825000000000001,12.540000000000001,13.23,14.42,11.77,12.51,11.43,12.095
17,15.345,13.135,13.395,13.21,12.945,12.365,11.21,12.005
18,14.94,12.795,14.19,13.5,11.98,13.015,10.98,11.58
19,15.085,12.89,13.88,13.56,12.285,12.450000000000001,10.65,11.485
20,15.255,12.435,13.995000000000001,13.225,11.535,12.705,10.75,12.505
21,15.0,12.370000000000001,13.895,14.02,11.625,13.17,10.96,11.81
22,14.94,13.05,13.27,13.495000000000001,11.69,12.005,9.950000000000001,11.575000000000001
23,14.13,12.0,13.65,13.38,12.46,12.1,11.095,11.855
24,15.075000000000001,12.665000000000001,14.59,13.42,11.845,12.57,10.655,11.5
25,14.935,12.85,12.715,13.72,11.805,12.47,10.85,11.695
26,15.07,13.125,13.265,13.35,12.25,12.765,10.395,10.775
27,15.755,12.290000000000001,14.120000000000001,13.115,11.98,12.85,11.525,11.595
28,14.805,13.19,14.415000000000001,13.34,12.495000000000001,12.635,9.755,11.78
29,15.01,13.17,14.095,13.25,11.245000000000001,12.68,11.585,11.505
30,15.44,12.665000000000001,13.98,13.64,12.06,12.99,11.645,11.47
31,15.045,12.555,13.02,14.41,11.705,12.17,10.6,11.97
32,14.97,13.515,14.65,13.51,11.44,12.870000000000001,11.120000000000001,11.33
33,15.52,12.485,13.3,13.985,12.450000000000001,12.885,10.92,12.085
34,15.455,12.450000000000001,13.515,13.870000000000001,12.065,12.485,11.18,11.24
35,14.865,13.125,13.475,12.345,12.0,12.765,11.22,11.99
36,15.475,12.405000000000001,14.93,13.34,12.27,12.545,10.870000000000001,11.125
37,15.530000000000001,13.02,13.975,13.6,12.085,11.9,11.08,11.91
38,15.15,12.5,13.415000000000001,13.55,12.055,11.935,11.22,12.120000000000001
39,15.370000000000001,12.88,14.59,14.22,11.89,12.93,11.055,10.555
40,15.005,13.435,14.02,13.24,11.455,12.13,10.22,11.545
41,15.05,12.620000000000001,14.385,13.115,12.195,12.685,11.43,12.17
42,15.325000000000001,13.155000000000001,14.025,13.3,11.375,13.02,10.35,11.565
43,14.97,13.165000000000001,13.700000000000001,13.245000000000001,12.415000000000001,12.005,11.245000000000001,12.030000000000001
44,15.855,12.895,14.005,13.715,12.540000000000001,12.02,11.715,11.635
45,14.75,13.21,14.285,13.545,12.09,12.535,11.035,11.375
46,14.785,12.74,14.48,13.81,12.05,11.915000000000001,11.165000000000001,11.275
47,15.5,13.08,14.055,13.745000000000001,11.81,13.16,11.485,11.63
48,14.9,13.08,13.785,14.325000000000001,12.505,12.275,10.505,12.055
49,15.89,12.32,14.345,14.06,12.07,11.485,9.765,11.98
50,15.615,12.84,13.445,13.16,11.94,12.575000000000001,11.18,12.120000000000001
51,15.48,12.98,14.355,13.89,11.675,12.595,11.49,11.65
52,15.765,13.08,13.96,13.13,11.540000000000001,13.075000000000001,11.03,12.030000000000001
53,15.83,13.58,13.99,13.030000000000001,11.665000000000001,13.625,9.995000000000001,10.945
54,14.58,13.125,14.32,13.485,11.855,13.02,10.295,11.695
55,15.235,13.125,13.93,12.495000000000001,12.47,12.75,10.790000000000001,11.64
56,15.16,12.785,13.065,14.89,11.25,12.655000000000001,10.775,11.3
57,15.280000000000001,13.305,13.815,12.875,12.370000000000001,12.120000000000001,10.86,10.755
58,15.02,13.145,14.235,13.895,11.835,12.63,10.73,11.915000000000001
59,15.515,12.48,13.51,14.085,11.515,11.26,11.075000000000001,11.985
60,15.14,12.885,14.120000000000001,13.735,12.365,12.450000000000001,10.48,11.955
61,14.975,12.525,14.21,13.13,11.975,12.925,10.950000000000001,11.700000000000001
62,15.285,12.63,14.245000000000001,13.71,12.280000000000001,12.375,10.5,11.39
63,15.59,12.905000000000001,13.74,12.985,12.185,12.92,11.39,12.48
64,15.290000000000001,13.19,13.08,14.635,12.625,11.715,10.76,11.98
65,15.97,13.195,14.030000000000001,14.63,11.255,12.705,11.615,11.525
66,15.205,12.905000000000001,12.96,13.96,11.49,11.78,12.15,12.185
67,15.375,12.200000000000001,14.57,13.585,11.925,13.11,10.975,11.155
68,15.18,12.1,14.895,13.63,11.945,13.18,10.115,11.38
69,15.43,13.13,14.75,13.635,12.92,12.025,10.58,11.565
70,15.665000000000001,12.985,14.315,13.865,12.32,13.445,11.74,12.085
71,15.31,13.185,14.435,12.74,12.9,12.515,11.205,12.555
72,14.83,12.795,13.255,13.255,11.74,12.835,11.045,12.835
73,16.0,13.375,13.455,13.780000000000001,11.435,13.42,11.525,11.540000000000001
74,14.635,12.665000000000001,14.18,13.02,11.975,13.685,11.615,12.49
75,14.535,12.535,13.495000000000001,13.965,12.355,13.31,11.605,10.855
76,14.765,12.395,14.115,13.985,11.69,12.025,10.94,12.14
77,14.875,13.870000000000001,14.44,14.98,11.83,13.355,12.055,12.265
78,15.74,13.15,14.72,13.32,11.865,12.83,11.540000000000001,11.68
79,14.885,13.345,14.165000000000001,14.175,12.46,12.55,10.295,10.975
80,15.845,13.42,15.33,14.305,12.57,12.8,11.620000000000001,11.895
81,15.36,12.72,13.64,13.51,12.3,13.195,10.915000000000001,11.98
82,15.185,12.215,13.75,12.9,12.785,12.530000000000001,10.945,11.72
83,14.38,13.32,14.905000000000001,13.305,12.48,13.175,11.725,11.855
84,15.135,13.84,14.195,13.845,12.25,12.885,11.225,12.295
85,14.845,12.34,14.675,13.705,12.41,12.93,11.385,11.275
86,14.51,13.545,13.88,14.185,11.450000000000001,13.225,10.39,12.040000000000001
87,16.04,13.105,14.33,13.8,12.76,13.41,11.915000000000001,11.59
88,15.280000000000001,12.745000000000001,14.08,13.81,11.73,13.185,11.370000000000001,12.495000000000001
89,14.84,12.39,14.32,12.73,12.095,13.34,11.39,11.33
90,14.790000000000001,12.35,14.11,14.05,12.59,14.07,10.575000000000001,12.02
91,15.195,13.09,13.94,13.06,12.950000000000001,12.370000000000001,11.24,12.355
92,15.195,13.025,13.83,13.89,11.790000000000001,12.790000000000001,11.465,11.66
93,14.17,13.335,13.555,14.165000000000001,12.055,12.385,11.84,12.505
94,15.05,12.71,13.605,13.435,12.245000000000001,11.99,10.96,11.775
95,15.530000000000001,12.73,14.315,13.67,11.73,12.965,10.99,12.415000000000001
96,16.735,14.945,17.115000000000002,14.895,12.905000000000001,12.775,10.745000000000001,13.46
97,16.55,14.43,14.855,15.715,13.385,14.245000000000001,12.540000000000001,12.09
98,16.845,14.035,14.83,14.5,14.555,14.51,12.525,12.665000000000001
99,18.06,14.68,15.14,14.99,12.985,14.265,11.36,12.86
100,17.45,14.825000000000001,15.855,14.89,14.345,13.57,12.125,13.280000000000001
101,16.17,14.1,16.46,13.47,14.145,14.06,11.56,13.26
