,0 Feature,1 Feature,2 Feature,3 Feature
0,15.305,12.525,11.99,10.535
1,15.16,13.115,12.41,11.09
2,15.295,12.88,12.625,11.55
3,15.535,12.65,11.99,11.035
4,15.8,13.215,11.995000000000001,10.885
5,14.47,12.92,11.895,10.135
6,14.545,12.120000000000001,12.16,11.17
7,14.83,12.97,11.325000000000001,11.03
8,15.5,12.825000000000001,11.01,11.290000000000001
9,15.05,12.5,11.985,11.56
10,14.625,13.495000000000001,12.365,11.21
11,14.94,13.26,11.27,11.155
12,14.635,13.205,12.535,11.315
13,15.35,12.84,12.38,10.725
14,14.81,12.65,11.755,11.040000000000001
15,14.205,13.495000000000001,12.485,10.67
16,14.825000000000001,12.540000000000001,11.77,11.43
17,15.345,13.135,12.945,11.21
18,14.94,12.795,11.98,10.98
19,15.085,12.89,12.285,10.65
20,15.255,12.435,11.535,10.75
21,15.0,12.370000000000001,11.625,10.96
22,14.94,13.05,11.69,9.950000000000001
23,14.13,12.0,12.46,11.095
24,15.075000000000001,12.665000000000001,11.845,10.655
25,14.935,12.85,11.805,10.85
26,15.07,13.125,12.25,10.395
27,15.755,12.290000000000001,11.98,11.525
28,14.805,13.19,12.495000000000001,9.755
29,15.01,13.17,11.245000000000001,11.585
30,15.44,12.665000000000001,12.06,11.645
31,15.045,12.555,11.705,10.6
32,14.97,13.515,11.44,11.120000000000001
33,15.52,12.485,12.450000000000001,10.92
34,15.455,12.450000000000001,12.065,11.18
35,14.865,13.125,12.0,11.22
36,15.475,12.405000000000001,12.27,10.870000000000001
37,15.530000000000001,13.02,12.085,11.08
38,15.15,12.5,12.055,11.22
39,15.370000000000001,12.88,11.89,11.055
40,15.005,13.435,11.455,10.22
41,15.05,12.620000000000001,12.195,11.43
42,15.325000000000001,13.155000000000001,11.375,10.35
43,14.97,13.165000000000001,12.415000000000001,11.245000000000001
44,15.855,12.895,12.540000000000001,11.715
45,14.75,13.21,12.09,11.035
46,14.785,12.74,12.05,11.165000000000001
47,15.5,13.08,11.81,11.485
48,14.9,13.08,12.505,10.505
49,15.89,12.32,12.07,9.765
50,15.615,12.84,11.94,11.18
51,15.48,12.98,11.675,11.49
52,15.765,13.08,11.540000000000001,11.03
53,15.83,13.58,11.665000000000001,9.995000000000001
54,14.58,13.125,11.855,10.295
55,15.235,13.125,12.47,10.790000000000001
56,15.16,12.785,11.25,10.775
57,15.280000000000001,13.305,12.370000000000001,10.86
58,15.02,13.145,11.835,10.73
59,15.515,12.48,11.515,11.075000000000001
60,15.14,12.885,12.365,10.48
61,14.975,12.525,11.975,10.950000000000001
62,15.285,12.63,12.280000000000001,10.5
63,15.59,12.905000000000001,12.185,11.39
64,15.290000000000001,13.19,12.625,10.76
65,15.97,13.195,11.255,11.615
66,15.205,12.905000000000001,11.49,12.15
67,15.375,12.200000000000001,11.925,10.975
68,15.18,12.1,11.945,10.115
69,15.43,13.13,12.92,10.58
70,15.665000000000001,12.985,12.32,11.74
71,15.31,13.185,12.9,11.205
72,14.83,12.795,11.74,11.045
73,16.0,13.375,11.435,11.525
74,14.635,12.665000000000001,11.975,11.615
